NGA,PolName,PolID,Start,End,World Region,Complexity,Dupl,Language,Genus,Family
Deccan,InKampi,InKampi,1280,1310,SouthAsia,Medium,n,Kannada,Indic,Indo-European
Deccan,InVijay,InVijay,1337,1646,SouthAsia,Medium,n,Sanskrit,Indic,Indo-European
Deccan,InMugl*,InMugl*,1687,1720,SouthAsia,Medium,y,Persian,Iranian,Indo-European
Deccan,InEInCo,InEInCo,1800,1857,SouthAsia,Medium,n,English,Germanic,Indo-European
Deccan,InBritP,InBritP,1858,1946,SouthAsia,Medium,n,English,Germanic,Indo-European
Garo Hills,InGaroE,InGaroE,1775,1867,SouthAsia,Late,n,Garo,Bodo-Garo,Sino-Tibetan
Garo Hills,InGaroL,InGaroL,1868,1956,SouthAsia,Late,n,Garo,Bodo-Garo,Sino-Tibetan
Cambodian Basin,KhFunaE,KhFunaE,225,539,SoutheastAsia,Early,n,Khmer,Khmer,Austro-Asiatic
Cambodian Basin,KhFunaL,KhFunaL,540,639,SoutheastAsia,Early,n,Khmer,Khmer,Austro-Asiatic
Cambodian Basin,KhChenl,KhChenl,640,801,SoutheastAsia,Early,n,Khmer,Khmer,Austro-Asiatic
Cambodian Basin,KhAngkE,KhAngkE,802,1079,SoutheastAsia,Early,n,Khmer,Khmer,Austro-Asiatic
Cambodian Basin,KhAngkC,KhAngkC,1080,1219,SoutheastAsia,Early,n,Khmer,Khmer,Austro-Asiatic
Cambodian Basin,KhAngkL,KhAngkL,1220,1431,SoutheastAsia,Early,n,Khmer,Khmer,Austro-Asiatic
Cambodian Basin,KhCambd,KhCambd,1432,1593,SoutheastAsia,Early,n,Thai,Kam-Tai,Tai-Kadai
Cambodian Basin,ThAyuth,ThAyuth,1594,1767,SoutheastAsia,Early,n,Thai,Kam-Tai,Tai-Kadai
Cambodian Basin,ThRattn,ThRattn,1782,1873,SoutheastAsia,Early,n,Thai,Kam-Tai,Tai-Kadai
Central Java,IdCJBun,IdCJBun,-400,499,SoutheastAsia,Medium,n,IdCJBun,IdCJBun,IdCJBun
Central Java,IdKalin,IdKalin,500,731,SoutheastAsia,Medium,n,IdKalin,IdKalin,IdKalin
Central Java,IdMedng,IdMedng,732,1019,SoutheastAsia,Medium,n,Sanskrit,Indic,Indo-European
Central Java,IdKedir,IdKedir,1049,1222,SoutheastAsia,Medium,n,Sanskrit,Indic,Indo-European
Central Java,IdMajap,IdMajap,1291,1518,SoutheastAsia,Medium,n,Old Javanese,Javanese,Austronesian
Central Java,IdMatrm,IdMatrm,1568,1703,SoutheastAsia,Medium,n,Javanese,Javanese,Austronesian
Kapuasi Basin,IdBrokE,IdBrokE,1650,1841,SoutheastAsia,Late,n,Iban,Malayo-Sumbawan,Austronesian
Kapuasi Basin,IdBrokL,IdBrokL,1842,1987,SoutheastAsia,Late,n,Iban,Malayo-Sumbawan,Austronesian
Middle Yellow River Valley,CnYngsh,CnYngsh,-5000,-3001,EastAsia,Early,n,Archaic Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnLngsh,CnLngsh,-3000,-1900,EastAsia,Early,n,Archaic Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnErlit,CnErlit,-1850,-1651,EastAsia,Early,n,Archaic Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnErlig,CnErlig,-1650,-1251,EastAsia,Early,n,Archaic Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnShang,CnShang,-1250,-1123,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnWZhou,CnWZhou,-1122,-795,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnJinSA,CnJinSA,-794,-489,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnWeiWS,CnWeiWS,-488,-223,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnWHan*,CnWHan*,-202,9,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnEHan*,CnEHan*,25,219,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnErJin,CnErJin,265,317,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnNWei*,CnNWei*,386,557,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnSui**,CnSui**,581,617,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnTangE,CnTangE,618,762,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnTangL,CnTangL,763,907,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnNSong,CnNSong,960,1126,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnLrJin,CnLrJin,1127,1234,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnYuan*,CnYuan*,1271,1367,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnMing*,CnMing*,1368,1643,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnQingE,CnQingE,1644,1795,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Middle Yellow River Valley,CnQingL,CnQingL,1796,1912,EastAsia,Early,n,Chinese,Chinese,Sino-Tibetan
Kansai,JpYayoi,JpYayoi,-300,249,EastAsia,Medium,n,Japanese,Japanese,Japanese
Kansai,JpKofun,JpKofun,250,537,EastAsia,Medium,n,Japanese,Japanese,Japanese
Kansai,JpAsuka,JpAsuka,538,710,EastAsia,Medium,n,Japanese,Japanese,Japanese
Kansai,JpHeian,JpHeian,794,1184,EastAsia,Medium,n,Japanese,Japanese,Japanese
Kansai,JpKamak,JpKamak,1185,1333,EastAsia,Medium,n,Japanese,Japanese,Japanese
Kansai,JpAshik,JpAshik,1336,1466,EastAsia,Medium,n,Japanese,Japanese,Japanese
Kansai,JpSengk,JpSengk,1467,1567,EastAsia,Medium,n,Japanese,Japanese,Japanese
Kansai,JpAzMom,JpAzMom,1568,1602,EastAsia,Medium,n,Japanese,Japanese,Japanese
Kansai,JpTokgw,JpTokgw,1603,1868,EastAsia,Medium,n,Japanese,Japanese,Japanese
Southern China Hills,CnHQngL,CnHQngL,1701,1895,EastAsia,Late,n,Hmong,Hmong-Mien,Hmong-Mien
Southern China Hills,CnHChin,CnHChin,1896,1941,EastAsia,Late,n,Hmong,Hmong-Mien,Hmong-Mien
Sogdiana,TjSaraz,TjSaraz,-3500,-2001,CentralEurasia,Early,n,TjSaraz,TjSaraz,TjSaraz
Sogdiana,KzAndro,KzAndro,-2000,-1401,CentralEurasia,Early,n,KzAndro,KzAndro,KzAndro
Sogdiana,UzKok01,UzKok01,-1400,-1000,CentralEurasia,Early,n,UzKok01,UzKok01,UzKok01
Sogdiana,UzKhw01,UzKhw01,-999,-751,CentralEurasia,Early,n,UzKhw01,UzKhw01,UzKhw01
Sogdiana,UzKok02,UzKok02,-750,-600,CentralEurasia,Early,n,Ancient Iranian,Iranian,Indo-European
Sogdiana,IrAchae,IrAchae,-520,-330,CentralEurasia,Early,y,Old Persian,Iranian,Indo-European
Sogdiana,IrSeleu,IrSeleu,-300,-249,CentralEurasia,Early,y,Greek,Greek,Indo-European
Sogdiana,AfGrBct,AfGrBct,-248,-130,CentralEurasia,Early,n,Greek,Greek,Indo-European
Sogdiana,AfTochr,AfTochr,-129,29,CentralEurasia,Early,n,Tocharian,Tocharian,Indo-European
Sogdiana,AfKushn,AfKushn,30,230,CentralEurasia,Early,n,Greek,Greek,Indo-European
Sogdiana,IrSasn1,IrSasn1,231,425,CentralEurasia,Early,y,Pahlavi,Iranian,Indo-European
Sogdiana,AfHepht,AfHepht,426,563,CentralEurasia,Early,n,Bactrian,Bactrian,Indo-European
Sogdiana,KgWTurk,KgWTurk,564,603,CentralEurasia,Early,n,Sogdian,Sogdian,Indo-European
Sogdiana,UzSogdi,UzSogdi,604,711,CentralEurasia,Early,n,Sogdian,Sogdian,Indo-European
Sogdiana,IqAbbs1,IqAbbs1,750,875,CentralEurasia,Early,y,Arabic,Semitic,Afro-Asiatic
Sogdiana,UzSamnd,UzSamnd,876,990,CentralEurasia,Early,n,Arabic,Semitic,Afro-Asiatic
Sogdiana,KgKarKh,KgKarKh,991,1212,CentralEurasia,Early,n,Arabic,Semitic,Afro-Asiatic
Sogdiana,UzChagt,UzChagt,1263,1361,CentralEurasia,Early,n,Middle Mongolian ,Mongolic,Altaic
Sogdiana,UzTimur,UzTimur,1370,1526,CentralEurasia,Early,n,Chagatai Turkish,Turkic,Altaic
Sogdiana,UzJanid,UzJanid,1599,1747,CentralEurasia,Early,n,Archaic Chinese,Chinese,Sino-Tibetan
Orkhon Valley,MnXngnE,MnXngnE,-1400,-300,CentralEurasia,Medium,n,Xiongnu,Xiongnu,Xiongnu
Orkhon Valley,MnXngnM,MnXngnM,-209,-60,CentralEurasia,Medium,n,Xiongnu,Xiongnu,Xiongnu
Orkhon Valley,MnXngnL,MnXngnL,-59,99,CentralEurasia,Medium,n,Xiongnu,Xiongnu,Xiongnu
Orkhon Valley,MnXianb,MnXianb,100,250,CentralEurasia,Medium,n,Xianbei,Xianbei,Xianbei
Orkhon Valley,MnRourn,MnRourn,300,551,CentralEurasia,Medium,n,Rouran,Rouran,Rouran
Orkhon Valley,MnETurk,MnETurk,583,630,CentralEurasia,Medium,n,Old Turkic ,Turkic,Altaic
Orkhon Valley,MnTurk2,MnTurk2,684,744,CentralEurasia,Medium,n,Old Turkic ,Turkic,Altaic
Orkhon Valley,MnUigur,MnUigur,745,840,CentralEurasia,Medium,n,Old Turkic ,Turkic,Altaic
Orkhon Valley,MnShiwe,MnShiwe,841,907,CentralEurasia,Medium,n,MnShiwe,MnShiwe,MnShiwe
Orkhon Valley,MnKhit2,MnKhit2,960,1125,CentralEurasia,Medium,n,Khitan,Khitan,Altaic
Orkhon Valley,MnMongE,MnMongE,1126,1205,CentralEurasia,Medium,n,Mongolian,Mongolic,Altaic
Orkhon Valley,MnMngKh,MnMngKh,1206,1367,CentralEurasia,Medium,n,Mongolian,Mongolic,Altaic
Orkhon Valley,MnMongL,MnMongL,1368,1689,CentralEurasia,Medium,n,Khalkha,Mongolic,Altaic
Orkhon Valley,MnZungh,MnZungh,1695,1745,CentralEurasia,Medium,n,Oirat,Mongolic,Altaic
Orkhon Valley,CnQingL,CnQingL,1796,1912,CentralEurasia,Medium,y,Chinese,Chinese,Sino-Tibetan
Lena River Valley,RuYakuE,RuYakuE,1400,1642,CentralEurasia,Late,n,Yakut,Turkic,Altaic
Lena River Valley,RuYakuL,RuYakuL,1643,1900,CentralEurasia,Late,n,Yakut,Turkic,Altaic
Valley of Oaxaca,MxTieLa,MxTieLa,-1400,-1151,NorthAmerica,Early,n,Proto-Zapotec,Zapotecan,Oto-Manguean
Valley of Oaxaca,MxSanGu,MxSanGu,-1150,-701,NorthAmerica,Early,n,Proto-Zapotec,Zapotecan,Oto-Manguean
Valley of Oaxaca,MxRosar,MxRosar,-700,-501,NorthAmerica,Early,n,Proto-Zapotec,Zapotecan,Oto-Manguean
Valley of Oaxaca,MxAlb1E,MxAlb1E,-500,-301,NorthAmerica,Early,n,Zapotec,Zapotecan,Oto-Manguean
Valley of Oaxaca,MxAlb1L,MxAlb1L,-300,-101,NorthAmerica,Early,n,Zapotec,Zapotecan,Oto-Manguean
Valley of Oaxaca,MxAlb2*,MxAlb2*,-100,199,NorthAmerica,Early,n,Zapotec,Zapotecan,Oto-Manguean
Valley of Oaxaca,MxAlb3A,MxAlb3A,200,499,NorthAmerica,Early,n,Zapotec,Zapotecan,Oto-Manguean
Valley of Oaxaca,MxAlb3B,MxAlb3B,500,899,NorthAmerica,Early,n,Zapotec,Zapotecan,Oto-Manguean
Valley of Oaxaca,MxAlb5*,MxAlb5*,900,1520,NorthAmerica,Early,n,Zapotec,Zapotecan,Oto-Manguean
Valley of Oaxaca,EsHabsb,EsHabsb,1521,1700,NorthAmerica,Early,y,Spanish,Romance,Indo-European
Cahokia,USMisEW,USMisEW,-600,-151,NorthAmerica,Medium,n,USMisEW,USMisEW,USMisEW
Cahokia,USMisMW,USMisMW,-150,299,NorthAmerica,Medium,n,USMisMW,USMisMW,USMisMW
Cahokia,USMisRo,USMisRo,300,449,NorthAmerica,Medium,n,USMisRo,USMisRo,USMisRo
Cahokia,USMisMu,USMisMu,450,599,NorthAmerica,Medium,n,USMisMu,USMisMu,USMisMu
Cahokia,USMisPa,USMisPa,600,749,NorthAmerica,Medium,n,USMisPa,USMisPa,USMisPa
Cahokia,USMisSp,USMisSp,750,899,NorthAmerica,Medium,n,USMisSp,USMisSp,USMisSp
Cahokia,USMisME,USMisME,900,1049,NorthAmerica,Medium,n,USMisME,USMisME,USMisME
Cahokia,USCahoE,USCahoE,1050,1199,NorthAmerica,Medium,n,USCahoE,USCahoE,USCahoE
Cahokia,USCahoL,USCahoL,1200,1274,NorthAmerica,Medium,n,USCahoL,USCahoL,USCahoL
Cahokia,USMisSd,USMisSd,1275,1399,NorthAmerica,Medium,n,USMisSd,USMisSd,USMisSd
Cahokia,USOneot,USOneot,1400,1639,NorthAmerica,Medium,n,USOneot,USOneot,USOneot
Cahokia,USIllin,USIllin,1640,1717,NorthAmerica,Medium,n,Illinois,Algonquian,Algic
Finger Lakes,UsIroqE,UsIroqE,1566,1713,NorthAmerica,Late,n,Oneida,Northern Iroquoian,Iroquoian
Finger Lakes,UsIroqL,UsIroqL,1714,1848,NorthAmerica,Late,n,Oneida,Northern Iroquoian,Iroquoian
Cuzco,PeCuzLF,PeCuzLF,1,199,SouthAmerica,Early,n,Quechua,Quechuan,Quechuan
Cuzco,PeCuzE1,PeCuzE1,200,499,SouthAmerica,Early,n,Quechua,Quechuan,Quechuan
Cuzco,PeCuzE2,PeCuzE2,500,649,SouthAmerica,Early,n,Quechua,Quechuan,Quechuan
Cuzco,PeWari*,PeWari*,650,999,SouthAmerica,Early,n,Quechua,Quechuan,Quechuan
Cuzco,PeCuzL1,PeCuzL1,1000,1249,SouthAmerica,Early,n,Aymara,Aymaran,Aymaran
Cuzco,PeCuzL2,PeCuzL2,1250,1399,SouthAmerica,Early,n,Aymara,Aymaran,Aymaran
Cuzco,PeInca*,PeInca*,1400,1531,SouthAmerica,Early,n,Quechua,Quechuan,Quechuan
Cuzco,EsHabsb,EsHabsb,1532,1700,SouthAmerica,Early,n,Spanish,Romance,Indo-European
North Colombia,CoNahua,CoNahua,250,1049,SouthAmerica,Medium,n,CoNahua,CoNahua,CoNahua
North Colombia,CoTairo,CoTairo,1050,1524,SouthAmerica,Medium,n,CoTairo,CoTairo,CoTairo
Lowland Andes,EcJivaE,EcJivaE,1534,1830,SouthAmerica,Late,n,Jivaro,Jivaroan,Jivaroan
Lowland Andes,EcJivaL,EcJivaL,1831,1931,SouthAmerica,Late,n,Jivaro,Jivaroan,Jivaroan
Big Island Hawaii,Hawaii1,Hawaii1,1000,1199,Oceania-Australia,Early,n,Old Hawaiian ,Oceanic,Austronesian
Big Island Hawaii,Hawaii2,Hawaii2,1200,1649,Oceania-Australia,Early,n,Hawaiian,Oceanic,Austronesian
Big Island Hawaii,Hawaii3,Hawaii3,1650,1777,Oceania-Australia,Early,n,Hawaiian,Oceanic,Austronesian
Big Island Hawaii,USKameh,USKameh,1778,1819,Oceania-Australia,Early,n,Hawaiian,Oceanic,Austronesian
Oro PNG,PgOrokE,PgOrokE,1734,1883,Oceania-Australia,Late,n,Orokaiva,Binanderean,Trans-New Guinea
Oro PNG,PgOrokL,PgOrokL,1884,1942,Oceania-Australia,Late,n,Orokaiva,Binanderean,Trans-New Guinea
Chuuk Islands,FmTrukE,FmTrukE,1775,1885,Oceania-Australia,Medium,n,Chuukese,Oceanic,Austronesian
Chuuk Islands,FmTrukL,FmTrukL,1886,1948,Oceania-Australia,Medium,n,Chuukese,Oceanic,Austronesian
