"NGA","PreRate","PostRate","MGUncertainty","TimeWindow","Region","Lang","Difference","V9"
"Konya Plain",0.0002299027218042,2.8848920100853e-05,300,1000,6,45,-0.000201053801703347,100
"Konya Plain",0.000312805596364794,1.82359180989218e-05,300,1100,6,45,-0.000294569678265872,100
"Konya Plain",0.000286738463334394,3.57009930701909e-05,300,1200,6,45,-0.000251037470264203,100
"Konya Plain",0.000264681658462518,3.29547628340224e-05,300,1300,6,45,-0.000231726895628496,100
"Konya Plain",0.000245775825715195,0.000121299485727979,300,1400,6,45,-0.000124476339987216,100
"Konya Plain",0.000229390770667515,0.000198811093356759,300,1500,6,45,-3.0579677310756e-05,100
"Konya Plain",0.000215053847500796,0.000185198247675529,300,1600,6,45,-2.9855599825267e-05,100
"Konya Plain",0.000202403621177219,9.87263777209306e-05,300,1700,6,45,-0.000103677243456288,100
"Konya Plain",0.000191158975556263,0.000107058359874974,300,1800,6,45,-8.4100615681289e-05,100
"Konya Plain",0.000181097976842775,5.79016085302964e-05,300,1900,6,45,-0.000123196368312479,100
"Konya Plain",0.000172043078000636,0.000177123953836984,300,2000,6,45,5.080875836348e-06,100
"Latium",0,7.81963858541002e-05,283,100,4,11,7.81963858541002e-05,-9900
"Latium",0.000141375918427135,0.0017983512275901,283,200,4,11,0.00165697530916297,100
"Latium",9.42506122847567e-05,0.00126060722124941,283,300,4,11,0.00116635660896465,100
"Latium",0.000196288521421905,0.00106468191309301,283,400,4,11,0.000868393391671105,100
"Latium",0.000157030817137524,0.000866795841231716,283,500,4,11,0.000709765024094192,100
"Latium",0.00013085901428127,0.000832194041637302,283,600,4,11,0.000701335027356032,100
"Latium",0.000112164869383946,0.00083065426422953,283,700,4,11,0.000718489394845584,100
"Latium",9.81442607109525e-05,0.00080420924420269,283,800,4,11,0.000706064983491738,100
"Latium",8.723934285418e-05,0.000844941349571629,283,900,4,11,0.000757702006717449,100
"Latium",2.5981354960267e-05,0.000764958104443846,283,1000,4,11,0.000738976749483579,100
"Latium",2.36194136002427e-05,0.000694270282080991,283,1100,4,11,0.000670650868480748,100
"Latium",2.16511291335558e-05,0.000641600107433026,283,1200,4,11,0.00061994897829947,100
"Latium",1.99856576617438e-05,0.000588730368850808,283,1300,4,11,0.000568744711189064,100
"Latium",1.8558110685905e-05,0.000476755032188871,283,1400,4,11,0.000458196921502966,100
"Latium",1.73209033068447e-05,0.000385248414838853,283,1500,4,11,0.000367927511532008,100
"Latium",1.62383468501669e-05,0.000373440971054604,283,1600,4,11,0.000357202624204437,100
"Latium",1.52831499766276e-05,0.000348811168524418,283,1700,4,11,0.00033352801854779,100
"Latium",1.44340860890372e-05,0.000326509361261341,283,1800,4,11,0.000312075275172304,100
"Latium",1.36743973475089e-05,0.000295091452819732,283,1900,4,11,0.000281417055472223,100
"Latium",1.29906774801335e-05,0.000276448237460316,283,2000,4,11,0.000263457559980182,100
"Middle Yellow River Valley",0,0,399,100,3,41,0,-9900
"Middle Yellow River Valley",0.000430708975489935,0,399,200,3,41,-0.000430708975489935,100
"Middle Yellow River Valley",0.00028713931699329,0.000161566234645043,399,300,3,41,-0.000125573082348247,100
"Middle Yellow River Valley",0.000372555109118088,0.000150650321179512,399,400,3,41,-0.000221904787938576,100
"Middle Yellow River Valley",0.00029804408729447,0.000164354139665816,399,500,3,41,-0.000133689947628654,100
"Middle Yellow River Valley",0.000248370072745392,0.000152574746321103,399,600,3,41,-9.5795326424289e-05,100
"Middle Yellow River Valley",0.000212888633781764,0.000135174932274517,399,700,3,41,-7.7713701507247e-05,100
"Middle Yellow River Valley",0.000186277554559044,3.22458940418212e-05,399,800,3,41,-0.000154031660517223,100
"Middle Yellow River Valley",0.000165580048496928,2.86630169260633e-05,399,900,3,41,-0.000136917031570865,100
"Middle Yellow River Valley",0.000149022043647235,2.57967152334569e-05,399,1000,3,41,-0.000123225328413778,100
"Middle Yellow River Valley",0.00013547458513385,7.00423392259282e-05,399,1100,3,41,-6.54322459079218e-05,100
"Middle Yellow River Valley",0.000124185036372696,0.000100632230453633,399,1200,3,41,-2.3552805919063e-05,100
"Middle Yellow River Valley",0.000114632341267104,0.000170921402407703,399,1300,3,41,5.6289061140599e-05,100
"Middle Yellow River Valley",0.000106444316890882,0.000162726018911932,399,1400,3,41,5.628170202105e-05,100
"Middle Yellow River Valley",9.93480290981567e-05,0.000152316841068849,399,1500,3,41,5.29688119706923e-05,100
"Middle Yellow River Valley",0.000279442642080413,0.000135345237629038,399,1600,3,41,-0.000144097404451375,100
"Middle Yellow River Valley",0.000263004839605095,9.98426867997853e-05,399,1700,3,41,-0.00016316215280531,100
"Middle Yellow River Valley",0.000248393459627034,0.000120719226801538,399,1800,3,41,-0.000127674232825496,100
"Middle Yellow River Valley",0.000235320119646664,8.32123429236195e-05,399,1900,3,41,-0.000152107776723045,100
"Middle Yellow River Valley",0.000223554113664331,8.83185768981005e-05,399,2000,3,41,-0.000135235536766231,100
"Niger Inland Delta",0,0,499,100,1,31,0,-9900
